,,acc,acc,acc,acc,acc,acc,acc,acc,p,p,p,p,p,p,p,p,r,r,r,r,r,r,r,r
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
lr,target,,,,,,,,,,,,,,,,,,,,,,,,
0.001,species:Iris-setosa,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.001,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.001,species:Iris-virginica,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.051000000000000004,species:Iris-setosa,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.051000000000000004,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.051000000000000004,species:Iris-virginica,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.101,species:Iris-setosa,1.0,0.2,,0.2,0.2,0.2,0.2,0.2,1.0,0.2727272727272727,,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,1.0,0.42857142857142855,,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
0.101,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.101,species:Iris-virginica,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
0.15100000000000002,species:Iris-setosa,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.36363636363636365,,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,0.5,,0.5,0.5,0.5,0.5,0.5
0.15100000000000002,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.15100000000000002,species:Iris-virginica,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
0.201,species:Iris-setosa,1.0,0.23333333333333334,,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.23333333333333334,1.0,0.3181818181818182,,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3181818181818182,1.0,0.4666666666666667,,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
0.201,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.201,species:Iris-virginica,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
0.251,species:Iris-setosa,1.0,0.3,,0.3,0.3,0.3,0.3,0.3,1.0,0.4090909090909091,,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,0.4090909090909091,1.0,0.5294117647058824,,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824
0.251,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
0.251,species:Iris-virginica,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.4444444444444444,,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.4,,0.4,0.4,0.4,0.4,0.4
0.30100000000000005,species:Iris-setosa,1.0,0.26666666666666666,,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.0,0.36363636363636365,,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,1.0,0.5,,0.5,0.5,0.5,0.5,0.5
0.30100000000000005,species:Iris-versicolor,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
